# exercise_name | source_file | expected_a0_hex | description
solE001 | solE001_codeforces.c | 0013 | Codeforces 4A Watermelon — bit-packed YES/NO ladder
solE002 | solE002_leetcode.c   | 0059 | LeetCode 70 Climbing Stairs — n=10 -> 89
solE003 | solE003_leetcode.c   | 0015 | LeetCode 231 Power of Two — bit-packed ladder
solE004 | solE004_codeforces.c | 0004 | Codeforces 1A Theatre Square — 6x6 tiled by 4
solE005 | solE005_leetcode.c   | 0016 | LeetCode 9 Palindrome Number — bit-packed ladder
solE006 | solE006_leetcode.c   | 016E | LeetCode 7 Reverse Integer — sum of two reverses
solE007 | solE007_leetcode.c   | 0021 | Sum of digits — 15 + 18 = 33
solE008 | solE008_codeforces.c | 0002 | CF 791A Bear and Big Brother — 4,7 -> 2 years
solE009 | solE009_leetcode.c   | 0004 | min3 — 3 + 1
solE010 | solE010_leetcode.c   | 0009 | max in array of 8
solE011 | solE011_leetcode.c   | 0003 | linear search — target at index 3
solE012 | solE012_leetcode.c   | 0005 | LC 704 Binary Search — target at index 5
solE013 | solE013_leetcode.c   | 0012 | bubble sort then min*10+max
solE014 | solE014_leetcode.c   | 0001 | LC 1 Two Sum — (0,1) -> 1
solE015 | solE015_leetcode.c   | 000D | LC 191 popcount — 5 + 8 = 13
solE016 | solE016_leetcode.c   | 0062 | sum of multiples of 3 or 5 up to 20 -> 98
solE017 | solE017_leetcode.c   | 0008 | count divisors — d(12)+d(7) = 6+2
solE018 | solE018_leetcode.c   | 001F | recursive GCD — 6 + 25 = 31
solE019 | solE019_leetcode.c   | 000B | LC 342 Power of Four — bit-packed ladder
solE020 | solE020_leetcode.c   | 0037 | recursive sum 1..10 = 55
solE021 | solE021_leetcode.c   | 0400 | linear pow(2,10) = 1024
solE022 | solE022_leetcode.c   | 0095 | tribonacci T(10) = 149
solE023 | solE023_leetcode.c   | 000F | integer sqrt — 10 + 5 = 15
solE024 | solE024_leetcode.c   | 0109 | Gauss formula — 55 + 210 = 265
solE025 | solE025_leetcode.c   | 01F5 | in-place reversal — 5*100 + 1
solE026 | solE026_leetcode.c   | 0004 | count occurrences of 2 in array
solE027 | solE027_leetcode.c   | 0003 | LC 169 Boyer-Moore majority -> 3
solE028 | solE028_leetcode.c   | 000D | climb-stairs {1,2,3} steps to n=5 -> 13
solE029 | solE029_leetcode.c   | 0400 | LC 50 fast-pow(2,10) = 1024
solE030 | solE030_leetcode.c   | 0005 | LC 53 Kadane max subarray -> 5
solE031 | solE031_leetcode.c   | 0008 | LC 204 count primes <= 20 -> 8
solE032 | solE032_leetcode.c   | 0015 | recursive fib(8) = 21
solE033 | solE033_leetcode.c   | 0181 | sum of squares 1..10 = 385
solE034 | solE034_leetcode.c   | 0004 | distinct count {1,2,2,3,1,4,3} -> 4
solE035 | solE035_leetcode.c   | 0009 | median3 — 2 + 7 = 9
solE036 | solE036_leetcode.c   | 0003 | LC 136 single number via XOR -> 3

# ── feature-coverage suite ─────────────────────────────────────────────
# One focused test per language feature; regression net so bugs like the
# for-loop `int i = ...` init-shift never re-surface silently.
feat_for_decl              | feat_for_decl.c              | 0037 | for (int i = 1..10) sum -> 55
feat_for_assign            | feat_for_assign.c            | 000A | for (i = 0..4) sum -> 10
feat_for_break             | feat_for_break.c             | 000A | for-loop break at i==5 -> 10
feat_for_continue          | feat_for_continue.c          | 0014 | for-loop skip odd -> 20
feat_for_nested            | feat_for_nested.c            | 0012 | 3x3 nested for sum(i+j) -> 18
feat_while                 | feat_while.c                 | 0037 | while n>0 sum 10..1 -> 55
feat_while_break           | feat_while_break.c           | 0015 | while(1) break at 7 -> 21
feat_do_while              | feat_do_while.c              | 000F | do/while 5..1 -> 15
feat_if_else_chain         | feat_if_else_chain.c         | 0022 | if/else if/else picks middle
feat_nested_if             | feat_nested_if.c             | 0077 | nested if inside else
feat_switch                | feat_switch.c                | 0022 | switch x=2 → case 2 → 0x22
feat_switch_default        | feat_switch_default.c        | 0099 | switch x=7 → default → 0x99
feat_call_simple           | feat_call_simple.c           | 0008 | add(3,5) -> 8
feat_call_recursive        | feat_call_recursive.c        | 0078 | fact(5) -> 120
feat_call_3args            | feat_call_3args.c            | 0006 | sum3(1,2,3) -> 6
feat_call_4args            | feat_call_4args.c            | 000A | sum4(1,2,3,4) stack-arg -> 10
feat_mul                   | feat_mul.c                   | 005B | 7*13 via __mul -> 91
feat_div_signed            | feat_div_signed.c            | 000E | 100/7 -> 14
feat_div_unsigned          | feat_div_unsigned.c          | 2445 | 65000u/7 -> 9285
feat_mod                   | feat_mod.c                   | 0002 | 100%7 -> 2
feat_bitwise               | feat_bitwise.c               | 6464 | mixed AND/OR/XOR/NOT
feat_shift_left            | feat_shift_left.c            | 00F0 | 0x000F << 4 -> 0x00F0
feat_shift_right_signed    | feat_shift_right_signed.c    | FFFC | (-16) >> 2 -> -4
feat_shift_right_unsigned  | feat_shift_right_unsigned.c  | 0F00 | 0xF000u >> 4 -> 0x0F00
feat_cmp_signed            | feat_cmp_signed.c            | 0023 | signed (<,<=,!=) -> 0x23
feat_cmp_unsigned          | feat_cmp_unsigned.c          | 002C | unsigned (>,>=,!=) -> 0x2C
feat_array_sum             | feat_array_sum.c             | 0024 | sum a[0..7]={1..8} -> 36
feat_array_write_read      | feat_array_write_read.c      | 0024 | a[i]=i*i, return a[6]=36

# ── parallel-exploration suite ─────────────────────────────────────────
# 31 tests gathered by three concurrent subagents covering operators,
